max_depth,accuracy_mean,precision_mean,recall_mean,f1_mean
2,0.9081508515815084,0.9178840047624618,0.8721311475409836,0.8938801044424046
3,0.9358510525759017,0.9352175296072864,0.9196721311475411,0.9271439635067553
4,0.951898868084206,0.9418007926091925,0.9508196721311476,0.9459748234639113
5,0.970110017983709,0.9754935773771674,0.9573770491803278,0.9659190445847496
6,0.9839627631439753,0.982308428395155,0.9819672131147541,0.9819634343786656
None,0.9825081984555167,0.977412468929826,0.9836065573770492,0.9803785367573401
